code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,228001276,1,,,,,
,GENERATOR,Waker Newson,GP6600,Generators & Power,,1,,,,,
,BACK PACK VIBRATOR,Waker Newson,BV50A-h,Compaction,24627123,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,328001279,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,28000640,1,,,,,
,Skill Saw,,,Saws,330001083,1,,,,,
,QUIKIE SAW,,TS-420,Saws,,1,,,,,
,BACK PACK VIBRATOR,,,Compaction,24642294,1,,,,,
,BACK PACK VIBRATOR,,GCBYT-208246,Compaction,24629536,1,,,,,
,QUIKIE SAW,,,Saws,,1,,,,,
,Skill Saw,,,Saws,13200481,1,,,,,
,HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,42200711,1,,,,,
,Grease Gun,Dewalt,DCG6571,,WISUJDL,1,,,,,
,Charger & Battery 4AH,,,Generators & Power,,1,,,,,
,Hammer Breaker,BOSCH,11264EVS,Drills & Drivers,422000711,1,,,,,
,Hammer Breaker,BOSCH,RH540M,Drills & Drivers,424005550,1,,,,,
,PRESICION LASER W/TRIPOT AND SCALE ROD.,SPECTRA,LL100N,Survey & Layout,,1,,,,,
,4' SMART LEAVEL,STABILA,,,,1,,,,,
,Performance 2 tool combo kit,BOSCH,GXL18V-227B25,,I#224006494 D#227000484,1,,,,,
,Plate Compacter,WACKER NEWSON,WP1550AW,Compaction,11650615,1,,,,,
,"TRASH PUMP 3""",MULTIEQUIP,QP3TH,,3TH-46308,1,,,,,
,WATER HOSE 3'X50' W/ LAYD FLAT DISCHARGE-CAMALOCK,,,,,4,,,,,
,WATER HOSE 3'X20' PVC SUCTION W/CAMALOCK,,,,,1,,,,,
,"4-1/2"" ANGLE GRAINDER",BOSCH,,Grinders,,2,,,,,
,ELECTRIC DRILL,DEWALL,DR-018,Drills & Drivers,DW130V,1,,,,,
,GENERATOR,WACKER NEWSON,GP5600,Generators & Power,24563437,1,,,,,
,GENERATOR,HONDA,EB6500X,Generators & Power,EBLC-1027218,1,,,,,
,PLATE COMPACTOR,MIKASA,MVC-82VHW,Compaction,G13056,1,,,,,
,QUIKIE SAW,TS-420,,Saws,,1,,,,,
,QUIKIE SAW,TS-420,,Saws,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,BV50A-H,Compaction,,1,,,,,
,"20"" WALL BEGIN CONCRETE SAW",HUSQVARNA,FS400,Saws,2022050089,1,,,,,
,Hammer Drill,BOSCH,,Drills & Drivers,22003016,1,,,,,
,Hammer Drill,BOSCH,RH-540M,Drills & Drivers,331008829,1,,,,,
,Leaf Blower,Stihl,BG56C,Blowers & Yard,535860162,1,,,,,
,"7"" Angle Grinder 15A",,1772-6,Grinders,423029666,1,,,,,
,"4 1/2"" Angle grinder 10A",,GWS10-450P,Grinders,527052717,1,,,,,
,Diamond Cup Wheel,BOSCH,DC4518,,,1,,,,,
,"1/2"" Hammer Drill/Driver",Milwaukee,2904-20,Drills & Drivers,M64AF230206819,1,,,,,
,"1/2"" Hammer Drill/Driver",Milwaukee,2904-20,Drills & Drivers,M64AF230206821,1,,,,,
,"1/2"" Hammer Drill/Driver",Milwaukee,,Drills & Drivers,,1,,,,,
,"4-1/2"" Angel Grinder",Milwaukee,2880-20,Grinders,L64BF225004744,1,,,,,
,"4-1/2""Angel Grinder",Milwaukee,2880-20,Grinders,L64BF226004745,1,,,,,
,Lever Hoist,Magna,LH200,,115932,1,,,,,
,Lever Hoist,Magna,LH200,,115916,1,,,,,
,Reciprocating Saw,Milwaukee,2821-22,Saws,L37AD231702607,1,,,,,
,concrete Vibrators,Wacker Newson,,Compaction,,2,,,,,
,Extension Cord 100',Yellow Jacket,,,,3,,,,,
,Hand Blower electric,Milwaukee,,Blowers & Yard,,1,,,,,
,"14"" Quikie saw",Stihl,TS-420,Saws,,1,,,,,
,Trash Water Pump,,,,,1,,,,,
,"1/2"" Drill",Milwaukee,,Drills & Drivers,,1,,,,,
,1/4 Hex impact,Bosch,,Drills & Drivers,,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Saws,,2,,,,,
,Headlamps for Employees,Cosoos,,,,6,,,,,
,Harness M-L,Guardian,,,,5,,,,,
,Yellow Strap 20',Kennedy Wire Rope,,,,2,,,,,
,Blue Strap 10',Kennedy Wire Rope,,,,2,,,,,
,"48"" Shovel Square",Union Tools,,Hand Tools,,3,,,,,
,"48"" Shovel Point",Union Tools,,Hand Tools,,2,,,,,
,Wheel barrow,True Temper,,,,2,,,,,
,sledge hammer 10lbs,True Temper,,Drills & Drivers,,2,,,,,
,"Extension ladder 24""",Werner,,,,1,,,,,
,Power Generator,Wacker Newson,GP6500,Generators & Power,24560443,1,,,,,
,Power Generator,Wacker Newson,GP6500,Generators & Power,24560444,1,,,,,
,Chopsaw,Stihl,,Saws,,1,,,,,
,Harness M-L,,,,,5,,,,,
,Yellow Strap 20',,,,,2,,,,,
,Blue Strap 10',,,,,2,,,,,
,sledge hammer 10lbs,,,Drills & Drivers,,2,,,,,
,Gas can 2 gal,,,,,2,,,,,
,Gas can 5 gal,,,,,3,,,,,
,Form Release Red Can,,,,,1,,,,,
,"Wrench pipe 36""",,,Hand Tools,,1,,,,,
,"Pry Bar 60""",,,Hand Tools,,2,,,,,
,Wheel barrow,True Temper,,,,2,,,,,
,"1/2"" High Torque",Milwaukee,2767-20,,,1,,,,,
,GENERATOR,WACKER NEWSON,GP6600,Generators & Power,24560604,1,,,,,
,GENERATOR,WACKER NEWSON,GP6600,Generators & Power,24564189,1,,,,,
,PLATE COMPACTOR,MULTIQUIP,MVC-88VTHW,Compaction,J12534,1,,,,,
,"20"" CONCRETE SAW WALK BEHING",HUSQVARNA,FS400LV,Saws,20222230030,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Saws,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,BV50A-h,Compaction,24528057,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Saws,1939913890,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,122000559,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,329001361,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,RH-540M,Drills & Drivers,328007103,1,,,,,
,FIRE EXTINGHISHER,Kidde,3 lb,,,1,,,,,
,FIRE EXTINGHISHER,Kidde,5 lb.,,,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,122000589,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,328000450,1,,,,,
,Air Compressor 2.5 Gallon,Dewalt,,Generators & Power,,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Saws,125000566,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Saws,707002622,1,,,,,
,Drill Driver,Dewalt,PW2350,Drills & Drivers,PW2350,1,,,,,
,Water Pump,,,,21703748017,1,,,,,
,Electrical Vibrator,,,Compaction,AN3215808,1,,,,,
,Fire Extinguisher,Kidde,3 Lb,,,1,,,,,
,Fire Extinguisher,Kidde,5 Lb,,,1,,,,,
,Concrete vibrator Shaft w/ head,Wacker Neuson,,Compaction,,1,,,,,
,pick,,,,,1,,,,,
,Shovel,,,Hand Tools,,8,,,,,
,Leaf Blower,Stihl,B686C,Blowers & Yard,B686C,1,,,,,
,Bull Float,,,,,1,,,,,
,Fresno,,,,,1,,,,,
,Bull float Handles,,,,,1,,,,,
,Heavy Duty Pry Bar,,,Hand Tools,,2,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,328001314,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,RH-540M,Drills & Drivers,703001198,1,,,,,
,BACK PACK VIBRATOR,Wacker Neuson,BV50A-h,Compaction,24592229,1,,,,,
,Concrete vibrator Shaft w/ head,Wacker Neuson,,Compaction,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,BV50A-H,Compaction,24523179,1,,,,,
,Quicky Saw,STHIL,TS-420,Saws,,1,,,,,
,Quicky Saw,STHIL,TS-420,Saws,,1,,,,,
,GENERATOR,HONDA,EB6500X,Generators & Power,EBLC-1520520,1,,,,,
,GENERATOR,HONDA,EB6500X,Generators & Power,EBLC-1514786,1,,,,,
,PLATE COMPACTOR,WACKER NEWSON,WP1550AW,Compaction,11714586,1,,,,,
,"20"" Walk Behind Concrete Saw",HUSQVARNA,FS400LV,Saws,20220500089,1,,,,,
,Leaf Blower,Stihl,BG86,Blowers & Yard,,1,,,,,
,FIRE EXTINGUISHER,KIDDE,3 LB,,,1,,,,,
