code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,Yellow Strap 20',Kennedy Wire Rope,,,,2,,,,,
,Blue Strap 10',Kennedy Wire Rope,,,,2,,,,,
,"48"" Shovel Square",Union Tools,,,,3,,,,,
,"48"" Shovel Point",Union Tools,,,,2,,,,,
,Wheel barrow,True Temper,,,,2,,,,,
,sledge hammer 10lbs,True Temper,,Power Tools,,2,,,,,
,"Extension ladder 24""",Werner,,,,1,,,,,
,Power Generator,Wacker Newson,GP6500,,24560443,1,,,,,
,Power Generator,Wacker Newson,GP6500,,24560444,1,,,,,
,Chopsaw,Stihl,,Power Tools,,1,,,,,
,Harness M-L,,,,,5,,,,,
,Yellow Strap 20',,,,,2,,,,,
,Blue Strap 10',,,,,2,,,,,
,sledge hammer 10lbs,,,Power Tools,,2,,,,,
,Gas can 2 gal,,,,,2,,,,,
,Gas can 5 gal,,,,,3,,,,,
,Form Release Red Can,,,,,1,,,,,
,"Wrench pipe 36""",,,,,1,,,,,
,"Pry Bar 60""",,,,,2,,,,,
,Wheel barrow,True Temper,,,,2,,,,,
,"1/2"" High Torque",Milwaukee,2767-20,,,1,,,,,
,GENERATOR,WACKER NEWSON,GP6600,,24560604,1,,,,,
,GENERATOR,WACKER NEWSON,GP6600,,24564189,1,,,,,
,PLATE COMPACTOR,MULTIQUIP,MVC-88VTHW,,J12534,1,,,,,
,"20"" CONCRETE SAW WALK BEHING",HUSQVARNA,FS400LV,Power Tools,20222230030,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,BV50A-h,,24528057,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,1939913890,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Power Tools,122000559,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Power Tools,329001361,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,RH-540M,Power Tools,328007103,1,,,,,
,FIRE EXTINGHISHER,Kidde,3 lb,,,1,,,,,
,FIRE EXTINGHISHER,Kidde,5 lb.,,,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Power Tools,122000589,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Power Tools,328000450,1,,,,,
,Air Compressor 2.5 Gallon,Dewalt,,,,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Power Tools,125000566,1,,,,,
,"7-1/2"" warm drive Circular saw",Skillsaw,,Power Tools,707002622,1,,,,,
,Drill Driver,Dewalt,PW2350,Power Tools,PW2350,1,,,,,
,Water Pump,,,,21703748017,1,,,,,
,Electrical Vibrator,,,,AN3215808,1,,,,,
,Fire Extinguisher,Kidde,3 Lb,,,1,,,,,
,Fire Extinguisher,Kidde,5 Lb,,,1,,,,,
,Concrete vibrator Shaft w/ head,Wacker Neuson,,,,1,,,,,
,pick,,,,,1,,,,,
,Shovel,,,,,8,,,,,
,Leaf Blower,Stihl,B686C,,B686C,1,,,,,
,Bull Float,,,,,1,,,,,
,Fresno,,,,,1,,,,,
,Bull float Handles,,,,,1,,,,,
,Heavy Duty Pry Bar,,,,,2,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Power Tools,,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Power Tools,328001314,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,RH-540M,Power Tools,703001198,1,,,,,
,BACK PACK VIBRATOR,Wacker Neuson,BV50A-h,,24592229,1,,,,,
,Concrete vibrator Shaft w/ head,Wacker Neuson,,,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,BV50A-H,,24523179,1,,,,,
,Quicky Saw,STHIL,TS-420,Power Tools,,1,,,,,
